Helm,grunge
Helm,groove metal
Enforcer,speed metal
Enforcer,heavy metal
Enforcer,power metal
Enforcer,thrash metal
Wonky Alice,madchester
Pijn,sludge metal
Pijn,post-rock
Pijn,doom metal
The High Kings,celtic
The High Kings,sea shanties
The High Kings,celtic rock
The Blue Jays,rockabilly
The Blue Jays,rock and roll
The Blue Jays,doo-wop
Longfellow,folk rock
Skrillex,dubstep
Skrillex,edm
Skrillex,electro
Skrillex,electronic
The Gods,acid rock
The Gods,psychedelic rock
The Gods,psychedelic pop
The Duke Spirit,garage rock
Edwin Starr,northern soul
Edwin Starr,motown
The Step,acid house
The Step,idm
The Ruins of Beverast,black metal
The Ruins of Beverast,doom metal
The Ruins of Beverast,sludge metal
Rezet,thrash metal
Rezet,speed metal
Secret Affair,power pop
Secret Affair,northern soul
Secret Affair,ska
Moloch,black metal
Moloch,dark ambient
SCALER,industrial rock
Sarah Jane Morris,acid jazz
Transfer,rock urbano
Kristy “Krash” Majors,dancehall
Kristy “Krash” Majors,soca
Stuckfish,progressive rock
Stuckfish,symphonic rock
Bad Gyal,neoperreo
Boys of the Lough,celtic
Boys of the Lough,celtic rock
Boys of the Lough,traditional music
Norma Jean,metalcore
Norma Jean,post-hardcore
Norma Jean,hardcore
Norma Jean,screamo
Omega Tribe,city pop
Omega Tribe,j-pop
Omega Tribe,kayokyoku
SWAY,dubstep
Richard Barbieri,art rock
Richard Barbieri,progressive rock
Arcadium,acid rock
Arcadium,progressive rock
Arcadium,psychedelic rock
Arcadium,krautrock
Sarah Shook & the Disarmers,alt country
Sarah Shook & the Disarmers,americana
Ellie Gowers,folk
Putrefy,grindcore
Putrefy,death metal
rhythmnreel,celtic rock
Free,classic rock
Martha Skye Murphy,art pop
Levellers,celtic rock
Levellers,folk punk
Levellers,britpop
Levellers,folk rock
The Frank and Walters,jangle pop
The Frank and Walters,madchester
Novella,gnawa
The System,post-disco
The System,new jack swing
The Jermz,soul jazz
The Jermz,punk
The Delines,alt country
The Delines,americana
Lost Cherrees,deathrock
Lost Cherrees,punk
Lost Cherrees,hardcore punk
Salad,britpop
Salad,madchester
Roy ‘Chubby’ Brown,comedy
Tangerine Dream,krautrock
Tangerine Dream,space music
Tangerine Dream,space rock
Tangerine Dream,new age
Tangerine Dream,progressive rock
Tangerine Dream,ambient
blk.,hard techno
blk.,techno
String Driven Thing,progressive rock
Two Gallants,folk punk
Two Gallants,indie folk
Ryan McGarvey,blues rock
Ryan McGarvey,blues
GZA/Genius,east coast hip hop
GZA/Genius,hip hop
GZA/Genius,boom bap
Ministry of Sound Classical,piano house
Ministry of Sound Classical,acid house
Merrick's Tusk,math rock
Cairiss,black metal
Bruce Cockburn,singer-songwriter
The Drums,indie
beabadoobee,bedroom pop
Het Zweet,free jazz
Chiodos,post-hardcore
Chiodos,screamo
Chiodos,emo
Chiodos,emocore
Lizzie No,americana
Watain,black metal
Trunc,techno
Trunc,minimal techno
Trunc,dub techno
Trunc,acid techno
Gojira,metal
Gojira,progressive metal
Gojira,groove metal
Gojira,death metal
Gojira,djent
Delta 5,post-punk
The Chemical Brothers,big beat
The Chemical Brothers,alternative dance
The Chemical Brothers,electronic
The Chemical Brothers,breakbeat
Angel Witch,heavy metal
Angel Witch,speed metal
The Karma Effect,modern blues
The Karma Effect,blues rock
Night Swimming,dream pop
Night Swimming,shoegaze
Belle and Sebastian,chamber pop
Belle and Sebastian,baroque pop
Mondo Generator,stoner rock
Mondo Generator,sludge metal
Top Topham,blues rock
Top Topham,blues
The Three Degrees,philly soul
The Three Degrees,disco
Knuckle Puck,pop punk
Knuckle Puck,midwest emo
Knuckle Puck,punk
The Watch,progressive rock
The Watch,symphonic rock
The Watch,art rock
The Watch,progressive metal
Matumbi,roots reggae
Matumbi,reggae
Matumbi,lovers rock
Matumbi,rocksteady
The Undivided,lovers rock
Still,southern rock
The Boatman,hip house
The Boatman,acid house
The Boatman,piano house
The Boatman,chicago house
Noriko Ogawa,japanese classical
Noriko Ogawa,classical piano
Noriko Ogawa,classical
Bloodmores,thrash metal
Bloodmores,speed metal
The White Stripes,garage rock
The White Stripes,blues rock
The White Stripes,rock
The White Stripes,alternative rock
London Sinfonietta,classical
London Sinfonietta,chamber music
London Sinfonietta,minimalism
Jonathan Richman,proto-punk
Deerhunter,shoegaze
Deerhunter,dream pop
Deerhunter,noise rock
Eric Bell,blues rock
Eric Bell,chicago house
Oh Captain!,post-rock
Nick Drake,folk
Nick Drake,singer-songwriter
Darkzy,bassline
Darkzy,drum and bass
Darkzy,bass house
SPUNK,grindcore
Johnny Dowd,jazz
Johnny Dowd,swing music
Johnny Dowd,cool jazz
Jake Isaac,folk pop
Awesome 3,piano house
Awesome 3,acid house
Awesome 3,rave
Awesome 3,breakbeat
The Pitmen Poets,celtic rock
The Pitmen Poets,christmas
The Pitmen Poets,folk punk
The Pitmen Poets,celtic
Joseph Capriati,techno
Joseph Capriati,minimal techno
Joseph Capriati,tech house
Johnny Foreigner,emo pop
Duran Duran,new wave
Duran Duran,synthpop
UK Decay,deathrock
UK Decay,post-punk
UK Decay,darkwave
UK Decay,cold wave
Heartless,uk garage
Heartless,uk funky
Heartless,grime
Heartless,funky house
Jane Weaver,space rock
Jane Weaver,art pop
Bury Tomorrow,metalcore
Bury Tomorrow,metal
Bury Tomorrow,deathcore
Bury Tomorrow,post-hardcore
Sans Froid,art rock
Sans Froid,math rock
BCUC,gnawa
